teamId,teamName,gender,weapon,lowWinPct,mediumWinPct,highWinPct,lowStrength,mediumStrength,highStrength,lowScore,mediumScore,highScore,prc,spi
13,Tufts University,Women,Epee,0.9091,0.7778,0.2941,29.4545,40,58.6667,26.7769,31.1111,17.2549,3.5,78.6429
13,Tufts University,Women,Foil,0.9375,0.4286,0.2857,30.75,41.7143,65,28.8281,17.8776,18.5714,3,68.2771
13,Tufts University,Women,Sabre,0.8,0.5714,0.5714,26.2,39.5,59.1667,20.96,22.5714,33.8095,3,80.341
13,Tufts University,Women,Team,0.9231,0.6,0.2857,30.6923,40.4,62.5,28.3314,24.24,17.8571,3,73.4285
31,Stevens Institute of Technology,Women,Epee,0.8333,0.375,0,27.75,41.5,58,23.125,15.5625,0,3,41.6875
31,Stevens Institute of Technology,Women,Foil,0.9091,0.1818,0,29.7273,40.7273,66.6667,27.0248,7.405,0,1.5,35.9298
31,Stevens Institute of Technology,Women,Sabre,0.4545,0.2,0,24.2727,38.8,55,11.0331,7.76,0,1.5,20.2931
31,Stevens Institute of Technology,Women,Team,0.7273,0.2727,0,27.5455,41.0909,63.3333,20.0331,11.2066,0,2,33.2397
42,Hunter College,Women,Epee,0.7143,0.0909,0,29.1429,40.3636,53.3333,20.8163,0,0,1,21.8163
42,Hunter College,Women,Foil,0.7273,0.125,0,29.7273,41.5,60,21.6198,0,0,1.5,23.1198
42,Hunter College,Women,Sabre,0.6,0.1111,0,22.8,39.5556,58,13.68,0,0,1,14.68
42,Hunter College,Women,Team,0.6,0.1111,0,30,40.8889,58,18,0,0,1.5,19.5
43,Drew University,Women,Epee,0.6154,0.0769,0,27.9231,41.2308,55,17.1834,0,0,1.5,18.6834
43,Drew University,Women,Foil,0.875,0.1429,0,28.875,40.8571,55,25.2656,5.8367,0,2,33.1024
43,Drew University,Women,Sabre,0.9333,0.1538,0,24,39.6923,55,22.4,6.1065,0,2,30.5065
43,Drew University,Women,Team,0.8667,0.1538,0,28,41.2308,53.3333,24.2667,6.3432,0,2,32.6099
10,Haverford College,Women,Epee,0.9167,0.2,0.0714,25.5,40.8,55.8333,23.375,8.16,3.9881,2,37.5231
10,Haverford College,Women,Foil,0.3333,0.1,0,30.4,41.2,60,10.1333,0,0,1,11.1333
10,Haverford College,Women,Sabre,0.5,0.2,0,24.8571,39.2,59,12.4286,7.84,0,1.5,21.7686
10,Haverford College,Women,Team,0.4286,0.2,0,27.2143,41.2,58,11.6633,8.24,0,1.5,21.4033
19,Yale University,Women,Epee,0.8571,0.8333,0.4,29.1429,41.3333,60,24.9796,34.4444,24,4,87.424
19,Yale University,Women,Foil,0.9091,0.8333,0.6364,30,41.3333,60,27.2727,34.4444,38.1818,5.5,105.399
19,Yale University,Women,Sabre,0.8889,0.7143,0.6667,23.3333,41.1429,63,20.7407,29.3878,42,4.5,96.6285
19,Yale University,Women,Team,0.8889,0.875,0.4545,30,41.5,64.4444,26.6667,36.3125,29.2929,5,97.2721
58,Hunter College,Men,Epee,0.6667,0.2,0,30,41.2,55,20,8.24,0,1,29.24
58,Hunter College,Men,Foil,0.5,0.1667,0,31,39.3333,53.3333,15.5,0,0,1,16.5
58,Hunter College,Men,Sabre,0.3333,0.1667,0,31.5,40,63.3333,0,0,0,1,1
58,Hunter College,Men,Team,0.5,0.2222,0,30.75,39.1111,55,15.375,8.6914,0,1,25.0664
56,Drew University,Men,Epee,0.9,0.75,0.3571,30.3,42.6667,55,27.27,32,19.6429,3,81.9129
56,Drew University,Men,Foil,0.8333,0.1538,0,29.75,39.6923,54.4444,24.7917,6.1065,0,2.5,33.3982
56,Drew University,Men,Sabre,0.6471,0.1429,0,30.5294,40,55,19.7543,0,0,2,21.7543
